role,topic,difficulty,question,answer
Data Scientist,Statistics,Easy,"What is the difference between mean, median, and mode?","Mean is the average value, median is the middle value when data is sorted, and mode is the most frequent value. Median is more robust to outliers compared to mean."
Data Scientist,Statistics,Easy,What is variance?,Variance measures how far data points spread from the mean. It is the average of squared deviations from the mean.
Data Scientist,Statistics,Medium,What is standard deviation?,Standard deviation is the square root of variance and represents the average amount by which values differ from the mean.
Data Scientist,Statistics,Medium,What is covariance?,"Covariance measures how two variables move together. A positive value indicates they increase together, while a negative value indicates inverse movement."
Data Scientist,Statistics,Medium,What is correlation?,"Correlation measures the strength and direction of a linear relationship between two variables, ranging from -1 to 1."
Data Scientist,Statistics,Hard,What is the Central Limit Theorem?,"The Central Limit Theorem states that the sampling distribution of the sample mean approaches a normal distribution as sample size increases, regardless of the population distribution."
Data Scientist,Statistics,Hard,What is a confidence interval?,A confidence interval provides a range of values within which the true population parameter is expected to lie with a specified level of confidence.
Data Scientist,Hypothesis Testing,Easy,What is a null hypothesis?,The null hypothesis represents the default assumption that there is no effect or difference between groups.
Data Scientist,Hypothesis Testing,Easy,What is a p-value?,"A p-value measures the probability of observing results at least as extreme as the sample data, assuming the null hypothesis is true."
Data Scientist,Hypothesis Testing,Medium,What is Type I and Type II error?,Type I error occurs when a true null hypothesis is rejected. Type II error occurs when a false null hypothesis is not rejected.
Data Scientist,Hypothesis Testing,Medium,What is statistical power?,Statistical power is the probability of correctly rejecting a false null hypothesis.
Data Scientist,Hypothesis Testing,Hard,What is the difference between parametric and non-parametric tests?,"Parametric tests assume specific distribution properties (like normality), while non-parametric tests do not rely on such assumptions."
Data Scientist,EDA,Easy,What is Exploratory Data Analysis (EDA)?,"EDA is the process of analyzing and visualizing data to summarize main characteristics, detect patterns, and identify anomalies before modeling."
Data Scientist,EDA,Medium,Why is data visualization important in EDA?,"Visualization helps identify patterns, trends, correlations, and outliers that may not be obvious from raw data."
Data Scientist,EDA,Medium,How do you detect outliers?,"Outliers can be detected using boxplots, z-scores, IQR method, or visualization techniques."
Data Scientist,EDA,Hard,What is skewness?,"Skewness measures asymmetry in data distribution. Positive skew means a longer right tail, while negative skew means a longer left tail."
Data Scientist,Feature Selection,Easy,Why is feature selection important?,"Feature selection reduces overfitting, improves model performance, decreases training time, and enhances interpretability."
Data Scientist,Feature Selection,Medium,What are filter methods in feature selection?,"Filter methods select features based on statistical measures like correlation, chi-square test, or mutual information."
Data Scientist,Feature Selection,Medium,What are wrapper methods?,Wrapper methods evaluate subsets of features by training models and selecting combinations that produce the best performance.
Data Scientist,Feature Selection,Hard,What is embedded feature selection?,"Embedded methods perform feature selection during model training, such as Lasso regression which shrinks some coefficients to zero."
Data Scientist,Business Interpretation,Easy,Why is business understanding important in data science?,Business understanding ensures that the analysis aligns with company goals and produces actionable insights.
Data Scientist,Business Interpretation,Medium,How do you translate model output into business value?,"By interpreting metrics in terms of revenue impact, cost savings, risk reduction, or operational efficiency."
Data Scientist,Business Interpretation,Medium,What is KPI in business analytics?,A Key Performance Indicator (KPI) is a measurable value that indicates how effectively a company achieves business objectives.
Data Scientist,Business Interpretation,Hard,How do you explain model uncertainty to stakeholders?,"By using confidence intervals, probability scores, and scenario analysis to communicate risk and expected variability in predictions."
Data Scientist,Statistics,Hard,What is Bayesian statistics?,Bayesian statistics updates prior beliefs using observed data to compute posterior probabilities using Bayes' theorem.
Data Scientist,Statistics,Medium,What is probability distribution?,A probability distribution describes how probabilities are assigned to different possible outcomes of a random variable.
Data Scientist,Statistics,Medium,What is the difference between discrete and continuous variables?,"Discrete variables take countable values, while continuous variables can take any value within a range."
Data Scientist,Statistics,Hard,What is the law of large numbers?,"The law of large numbers states that as the sample size increases, the sample mean converges to the population mean."
Data Scientist,Statistics,Hard,What is sampling bias?,"Sampling bias occurs when certain members of a population are more likely to be selected, leading to non-representative samples."
Data Scientist,Statistics,Medium,What is a normal distribution?,"A normal distribution is a symmetric, bell-shaped distribution defined by its mean and standard deviation."
Data Scientist,Hypothesis Testing,Medium,What is a one-tailed vs two-tailed test?,"A one-tailed test checks for an effect in one direction, while a two-tailed test checks for an effect in both directions."
Data Scientist,Hypothesis Testing,Hard,When should you use a t-test instead of a z-test?,A t-test is used when the population standard deviation is unknown and the sample size is small.
Data Scientist,Hypothesis Testing,Medium,What is ANOVA?,ANOVA (Analysis of Variance) tests whether there are statistically significant differences between the means of three or more groups.
Data Scientist,Hypothesis Testing,Hard,What is multiple testing problem?,"The multiple testing problem arises when performing many hypothesis tests, increasing the chance of false positives."
Data Scientist,EDA,Medium,How do you handle missing data during EDA?,"Missing data can be handled by imputation, deletion, or modeling techniques depending on the context and missingness pattern."
Data Scientist,EDA,Hard,What is multivariate analysis in EDA?,Multivariate analysis examines relationships among multiple variables simultaneously to detect interactions and dependencies.
Data Scientist,EDA,Medium,Why check data distribution before modeling?,"Understanding distribution helps determine appropriate statistical tests, transformations, and modeling techniques."
Data Scientist,Feature Selection,Medium,What is correlation-based feature selection?,It selects features highly correlated with the target but minimally correlated with each other.
Data Scientist,Feature Selection,Hard,What is recursive feature elimination (RFE)?,RFE iteratively removes the least important features based on model weights until the optimal subset is obtained.
Data Scientist,Feature Selection,Medium,What is dimensionality reduction vs feature selection?,"Feature selection keeps a subset of original features, while dimensionality reduction transforms features into new reduced dimensions."
Data Scientist,Business Interpretation,Medium,What is ROI in analytics projects?,Return on Investment (ROI) measures the financial benefit gained relative to the cost of implementing a solution.
Data Scientist,Business Interpretation,Hard,How do you evaluate trade-offs between precision and recall in business terms?,"Trade-offs are evaluated based on cost implications, such as false positives increasing operational costs and false negatives causing revenue loss."
Data Scientist,Business Interpretation,Medium,What is A/B testing in business context?,A/B testing compares two variants to determine which performs better on a key metric like conversion rate.
Data Scientist,Business Interpretation,Hard,How do you handle conflicting stakeholder requirements?,By aligning requirements with measurable business objectives and presenting data-driven trade-offs.
Data Scientist,Statistics,Hard,What is heteroscedasticity?,Heteroscedasticity occurs when the variance of errors differs across levels of an independent variable.
Data Scientist,Statistics,Medium,What is sampling distribution?,A sampling distribution is the probability distribution of a statistic computed from multiple samples.
Data Scientist,Hypothesis Testing,Medium,What is effect size?,Effect size quantifies the magnitude of a difference or relationship independent of sample size.
Data Scientist,EDA,Hard,What is data transformation?,Data transformation modifies data using techniques like log scaling or normalization to improve analysis and modeling.
Data Scientist,Feature Selection,Medium,What is mutual information?,"Mutual information measures the dependency between variables, capturing both linear and non-linear relationships."
Data Scientist,Business Interpretation,Medium,Why is interpretability important in business analytics?,Interpretability builds stakeholder trust and ensures decisions are understandable and actionable.
Data Scientist,Statistics,Medium,What is skewness and kurtosis?,"Skewness measures the asymmetry of a distribution, while kurtosis measures the heaviness of its tails compared to a normal distribution."
Data Scientist,Statistics,Hard,What is Maximum Likelihood Estimation (MLE)?,MLE is a method for estimating parameters by maximizing the likelihood that the observed data occurred under the assumed statistical model.
Data Scientist,Statistics,Medium,What is a probability density function (PDF)?,A PDF describes the likelihood of a continuous random variable taking a particular value.
Data Scientist,Statistics,Hard,What is the difference between frequentist and Bayesian approaches?,"Frequentist statistics treats parameters as fixed and data as random, while Bayesian statistics treats parameters as random variables updated using prior beliefs and observed data."
Data Scientist,Statistics,Medium,What is conditional probability?,Conditional probability measures the likelihood of an event occurring given that another event has occurred.
Data Scientist,Hypothesis Testing,Medium,What assumptions must hold for a t-test?,"Assumptions include normal distribution of data, independence of observations, and equal variances for independent samples t-test."
Data Scientist,Hypothesis Testing,Hard,What is Bonferroni correction?,Bonferroni correction adjusts significance levels when performing multiple tests to control the overall Type I error rate.
Data Scientist,Hypothesis Testing,Medium,What is chi-square test used for?,The chi-square test evaluates whether there is a significant association between categorical variables.
Data Scientist,Hypothesis Testing,Hard,What is statistical significance vs practical significance?,"Statistical significance indicates whether an effect exists, while practical significance evaluates whether the effect is large enough to matter in real-world applications."
Data Scientist,EDA,Medium,How do you identify multicollinearity during EDA?,Multicollinearity can be detected using correlation matrices or variance inflation factor (VIF) analysis.
Data Scientist,EDA,Hard,What is exploratory vs confirmatory analysis?,"Exploratory analysis aims to discover patterns without prior assumptions, while confirmatory analysis tests predefined hypotheses."
Data Scientist,EDA,Medium,Why visualize categorical variables?,"Visualization helps understand frequency distributions, class imbalance, and relationships with target variables."
Data Scientist,Feature Selection,Medium,What is forward selection?,Forward selection starts with no features and adds one feature at a time based on performance improvement.
Data Scientist,Feature Selection,Medium,What is backward elimination?,Backward elimination starts with all features and removes the least significant ones iteratively.
Data Scientist,Feature Selection,Hard,What is L1 regularization for feature selection?,"L1 regularization shrinks some coefficients to zero, effectively selecting a subset of important features."
Data Scientist,Business Interpretation,Medium,How do you prioritize analytics projects?,"Projects are prioritized based on business impact, feasibility, ROI, data availability, and strategic alignment."
Data Scientist,Business Interpretation,Hard,How do you communicate uncertainty to non-technical stakeholders?,"By using simple language, visual aids, ranges instead of point estimates, and explaining risks in business terms."
Data Scientist,Business Interpretation,Medium,What is customer lifetime value (CLV)?,CLV estimates the total revenue a business can expect from a customer over their entire relationship.
Data Scientist,Business Interpretation,Hard,How do you measure success of a predictive model in business?,"Success is measured using business metrics like revenue increase, cost reduction, risk mitigation, or improved customer satisfaction."
Data Scientist,Statistics,Hard,What is likelihood ratio test?,Likelihood ratio test compares two nested models to determine whether the more complex model significantly improves fit.
Data Scientist,Hypothesis Testing,Medium,What is paired t-test?,Paired t-test compares means from the same group at different times or under two conditions.
Data Scientist,EDA,Medium,Why analyze distributions of target variable?,Understanding target distribution helps choose appropriate models and evaluation metrics.
Data Scientist,Feature Selection,Hard,What is overfitting due to feature selection?,Overfitting can occur if feature selection is performed using the entire dataset instead of only the training data.
Data Scientist,Business Interpretation,Medium,What is churn analysis?,Churn analysis identifies customers likely to stop using a product or service to enable retention strategies.
Data Scientist,Statistics,Medium,What is random variable?,A random variable is a variable whose value depends on the outcome of a random event.
Data Scientist,Statistics,Medium,What is expected value?,"Expected value is the weighted average of all possible values of a random variable, where weights are their probabilities."
Data Scientist,Statistics,Hard,What is a sampling frame?,A sampling frame is the list or representation of all elements in the population from which a sample is drawn.
Data Scientist,Statistics,Medium,What is independence in probability?,Two events are independent if the occurrence of one does not affect the probability of the other.
Data Scientist,Statistics,Hard,What is bootstrapping in statistics?,Bootstrapping is a resampling technique that estimates the sampling distribution of a statistic by sampling with replacement.
Data Scientist,Statistics,Medium,What is a quantile?,"A quantile divides data into equal-sized intervals. For example, quartiles divide data into four parts."
Data Scientist,Hypothesis Testing,Medium,What is significance level (alpha)?,"Significance level is the threshold probability for rejecting the null hypothesis, commonly set at 0.05."
Data Scientist,Hypothesis Testing,Hard,What is false discovery rate (FDR)?,FDR is the expected proportion of false positives among all rejected hypotheses.
Data Scientist,Hypothesis Testing,Medium,What is Mann-Whitney U test?,Mann-Whitney U test is a non-parametric test used to compare differences between two independent groups.
Data Scientist,Hypothesis Testing,Hard,What is power analysis?,Power analysis determines the sample size required to detect an effect of a given size with a desired probability.
Data Scientist,Hypothesis Testing,Medium,What is confidence level?,Confidence level represents the probability that the confidence interval contains the true population parameter.
Data Scientist,EDA,Medium,What is a boxplot used for?,A boxplot visualizes the distribution of data using quartiles and highlights potential outliers.
Data Scientist,EDA,Hard,What is dimensionality curse in EDA?,The curse of dimensionality refers to sparsity and reduced interpretability when analyzing high-dimensional datasets.
Data Scientist,EDA,Medium,Why check class imbalance during EDA?,"Class imbalance can bias models toward majority classes, affecting evaluation metrics and model fairness."
Data Scientist,EDA,Hard,What is correlation vs causation?,"Correlation indicates association between variables, while causation implies one variable directly influences another."
Data Scientist,Feature Selection,Medium,What is feature importance in tree-based models?,Feature importance measures how much each feature contributes to reducing impurity in decision trees.
Data Scientist,Feature Selection,Hard,What is permutation importance?,Permutation importance measures feature relevance by observing performance degradation when feature values are shuffled.
Data Scientist,Feature Selection,Medium,What is variance threshold method?,"Variance threshold removes features with low variance, assuming they contain little information."
Data Scientist,Feature Selection,Hard,Why perform feature selection before modeling?,"Feature selection improves generalization, reduces noise, lowers computational cost, and enhances interpretability."
Data Scientist,Business Interpretation,Medium,What is conversion rate?,"Conversion rate is the percentage of users who complete a desired action, such as making a purchase."
Data Scientist,Business Interpretation,Hard,How do you connect statistical results to business KPIs?,"By translating statistical findings into measurable business metrics like revenue growth, customer retention, or cost reduction."
Data Scientist,Business Interpretation,Medium,What is cohort analysis?,Cohort analysis groups users based on shared characteristics to analyze behavior over time.
Data Scientist,Business Interpretation,Hard,How do you justify model complexity to stakeholders?,"By demonstrating improved predictive performance, business impact, and explaining trade-offs between interpretability and accuracy."
Data Scientist,Business Interpretation,Medium,What is segmentation in analytics?,Segmentation divides customers or data into meaningful groups for targeted strategies.
Data Scientist,Statistics,Hard,What is bias in statistical estimation?,Bias is the systematic difference between an estimator’s expected value and the true population parameter.
Data Scientist,Statistics,Medium,What is variance in estimation?,Variance measures how much an estimator’s value fluctuates across different samples.
Full Stack Engineer,Frontend Fundamentals,Easy,What problem does React solve compared to traditional DOM manipulation?,"React abstracts manual DOM updates by using a virtual DOM and declarative rendering, reducing complexity and improving maintainability in dynamic UIs."
Full Stack Engineer,Frontend Fundamentals,Medium,How does state management impact performance in large React applications?,"Poor state structuring can cause unnecessary re-renders. Proper state isolation, memoization, and lifting state only when necessary improve performance."
Full Stack Engineer,Frontend Fundamentals,Hard,When would you choose Context API over Redux or vice versa?,"Context API works well for lightweight global state, while Redux is better for complex state logic, predictable updates, middleware support, and debugging."
Full Stack Engineer,Frontend Fundamentals,Medium,How do you prevent unnecessary re-renders in React?,"By using memoization techniques like React.memo, useMemo, useCallback, and ensuring stable references for props."
Full Stack Engineer,Frontend Fundamentals,Hard,Explain reconciliation in React and why keys matter.,Reconciliation is React’s diffing algorithm to update the DOM efficiently. Keys help identify elements uniquely to avoid incorrect re-renders.
Full Stack Engineer,Backend Development,Easy,What is REST and why is it widely used?,"REST is an architectural style based on stateless communication and standard HTTP methods, making APIs scalable and easy to integrate."
Full Stack Engineer,Backend Development,Medium,What is middleware in backend frameworks?,"Middleware intercepts requests before reaching route handlers, commonly used for logging, authentication, validation, and error handling."
Full Stack Engineer,Backend Development,Hard,How would you design authentication for a scalable web app?,"Using stateless JWT-based authentication, refresh tokens, secure storage, and role-based access control for scalability."
Full Stack Engineer,Database Design,Medium,When would you choose SQL over NoSQL?,"SQL is preferred for structured data, strong consistency, and complex queries, while NoSQL suits flexible schemas and high scalability."
Full Stack Engineer,Database Design,Hard,How does indexing improve query performance?,"Indexes reduce full table scans by providing faster lookup paths, improving read performance at the cost of additional storage and write overhead."
Full Stack Engineer,System Design Basics,Medium,What is horizontal vs vertical scaling?,"Vertical scaling increases resources of a single machine, while horizontal scaling adds more machines to distribute load."
Full Stack Engineer,System Design Basics,Hard,How does load balancing improve system reliability?,"Load balancing distributes traffic across multiple servers, preventing overload and improving availability."
Full Stack Engineer,Web Security,Easy,What is JWT and why is it used?,"JWT is a compact token used for stateless authentication, containing encoded claims verified via signatures."
Full Stack Engineer,Web Security,Medium,What is XSS and how can it be prevented?,"XSS injects malicious scripts into web pages. Prevention includes input sanitization, output encoding, and Content Security Policy."
Full Stack Engineer,Web Security,Hard,Explain CSRF and mitigation strategies.,"CSRF tricks authenticated users into unintended actions. Mitigation includes CSRF tokens, SameSite cookies, and verifying origin headers."
Full Stack Engineer,DevOps Basics,Medium,What is CI/CD and why is it important?,"CI/CD automates testing and deployment, reducing integration issues and enabling faster, reliable releases."
Full Stack Engineer,DevOps Basics,Hard,Why use Docker in development and production?,"Docker ensures environment consistency, simplifies dependency management, and improves deployment reliability."
Full Stack Engineer,API Design & Integration,Medium,What makes a good API design?,"Clear resource naming, proper HTTP methods, consistent response formats, versioning, and strong documentation."
Full Stack Engineer,API Design & Integration,Hard,How do you handle API versioning?,"Using URL versioning, header-based versioning, or semantic versioning to maintain backward compatibility."
Full Stack Engineer,Performance Optimization,Medium,How can you optimize frontend performance?,"By code splitting, lazy loading, caching assets, reducing bundle size, and minimizing re-renders."
Full Stack Engineer,Frontend Fundamentals,Medium,"In a large React application, how would you structure state to avoid prop drilling?","By lifting shared state to appropriate parent components, using Context for global concerns, or adopting centralized state management like Redux to avoid deeply nested prop passing."
Full Stack Engineer,Frontend Fundamentals,Hard,A React app feels slow after adding many components. How would you diagnose performance issues?,"I would use React DevTools profiler to analyze re-renders, check expensive computations, evaluate memoization usage, and inspect network and bundle size impacts."
Full Stack Engineer,Frontend Fundamentals,Medium,What is the difference between controlled and uncontrolled components?,"Controlled components manage form state via React state, while uncontrolled components rely on DOM references, making controlled components more predictable."
Full Stack Engineer,Frontend Fundamentals,Hard,How does code splitting improve frontend performance?,"Code splitting loads only required JavaScript chunks on demand, reducing initial bundle size and improving page load time."
Full Stack Engineer,Backend Development,Medium,How would you design a REST API for a resource with relationships?,"By using nested routes when appropriate, supporting filtering and pagination, and keeping endpoints resource-oriented while avoiding deep nesting."
Full Stack Engineer,Backend Development,Hard,How do you ensure idempotency in REST APIs?,By designing PUT and DELETE operations to produce the same result regardless of repeated calls and using idempotency keys when needed.
Full Stack Engineer,Backend Development,Medium,What is rate limiting and why is it important?,Rate limiting restricts the number of requests a client can make within a time frame to prevent abuse and ensure system stability.
Full Stack Engineer,Database Design,Medium,What is normalization and why is it important?,"Normalization organizes data to reduce redundancy and maintain integrity, improving consistency and reducing anomalies."
Full Stack Engineer,Database Design,Hard,When would you intentionally denormalize a database?,When optimizing for read-heavy workloads where performance gains outweigh redundancy concerns.
Full Stack Engineer,Database Design,Hard,How do you handle database migrations in production systems?,"Using version-controlled migration scripts, backward-compatible schema changes, and staged rollouts to avoid downtime."
Full Stack Engineer,System Design Basics,Medium,What is caching and where can it be applied in a full stack system?,"Caching stores frequently accessed data temporarily to reduce latency, applied at browser, CDN, server, or database levels."
Full Stack Engineer,System Design Basics,Hard,How would you design a system to handle sudden traffic spikes?,"By implementing auto-scaling, load balancing, caching layers, and using stateless services to scale horizontally."
Full Stack Engineer,System Design Basics,Medium,What is eventual consistency?,"Eventual consistency means data will become consistent across systems over time, commonly used in distributed systems."
Full Stack Engineer,Web Security,Medium,How should JWT tokens be securely stored on the client side?,Preferably in HTTP-only secure cookies to mitigate XSS risks rather than localStorage.
Full Stack Engineer,Web Security,Hard,What is OAuth and when would you use it?,OAuth is an authorization framework allowing third-party apps limited access to user resources without sharing credentials.
Full Stack Engineer,Web Security,Hard,How do you secure APIs against common attacks?,"By implementing authentication, input validation, HTTPS, rate limiting, logging, and monitoring."
Full Stack Engineer,DevOps Basics,Medium,What is blue-green deployment?,"Blue-green deployment uses two identical environments where one serves traffic while the other is updated, reducing downtime."
Full Stack Engineer,DevOps Basics,Hard,How does infrastructure as code improve deployment reliability?,"It automates infrastructure provisioning using version-controlled scripts, ensuring reproducibility and consistency."
Full Stack Engineer,API Design & Integration,Medium,How do you handle third-party API failures?,"By implementing retries with backoff, circuit breakers, timeouts, and fallback mechanisms."
Full Stack Engineer,API Design & Integration,Hard,What is HATEOAS in REST?,HATEOAS allows clients to navigate APIs dynamically via hypermedia links provided in responses.
Full Stack Engineer,Performance Optimization,Medium,How can backend performance be improved?,"Through query optimization, indexing, caching, load balancing, and asynchronous processing."
Full Stack Engineer,Performance Optimization,Hard,How would you identify a bottleneck in a distributed system?,"By analyzing metrics, logs, tracing requests, monitoring CPU/memory usage, and measuring latency across services."
Full Stack Engineer,Frontend Fundamentals,Medium,What is hydration in server-side rendering?,"Hydration attaches event listeners to server-rendered HTML, making it interactive on the client side."
Full Stack Engineer,Backend Development,Hard,What is the difference between synchronous and asynchronous APIs?,"Synchronous APIs block until a response is returned, while asynchronous APIs allow non-blocking execution and improve scalability."
Full Stack Engineer,Database Design,Medium,What is a composite index?,"A composite index includes multiple columns, improving query performance when filtering on those columns together."
Full Stack Engineer,System Design Basics,Hard,How does a CDN improve performance?,"A CDN caches static assets across geographically distributed servers, reducing latency and server load."
Full Stack Engineer,Web Security,Medium,Why enforce HTTPS everywhere?,"HTTPS encrypts communication, protecting data integrity and preventing man-in-the-middle attacks."
Full Stack Engineer,DevOps Basics,Medium,What is container orchestration?,"Container orchestration manages container deployment, scaling, and networking automatically using tools like Kubernetes."
Full Stack Engineer,API Design & Integration,Medium,How do you design APIs for backward compatibility?,"By avoiding breaking changes, versioning endpoints, and supporting legacy fields until clients migrate."
Full Stack Engineer,Performance Optimization,Hard,What is lazy loading and where can it be applied?,"Lazy loading defers loading non-critical resources until needed, applied to images, components, or API data."
Full Stack Engineer,Frontend Fundamentals,Easy,Why is component reusability important in frontend architecture?,"Reusable components reduce duplication, improve maintainability, and enforce consistent UI and behavior across the application."
Full Stack Engineer,Frontend Fundamentals,Medium,"In a scenario where global state updates frequently, how would you minimize performance impact?","By splitting state into smaller slices, using selectors, memoization, and avoiding unnecessary subscriptions to prevent full-tree re-renders."
Full Stack Engineer,Frontend Fundamentals,Hard,What are potential drawbacks of excessive client-side rendering?,"Slower initial load time, SEO limitations, and performance issues on low-powered devices due to heavy JavaScript execution."
Full Stack Engineer,Backend Development,Medium,What is the difference between stateless and stateful services?,"Stateless services do not store client session data between requests, improving scalability, while stateful services maintain session information."
Full Stack Engineer,Backend Development,Hard,How would you design a logging strategy for a production backend system?,"By implementing structured logging, centralized log aggregation, log levels, correlation IDs, and monitoring alerts for critical errors."
Full Stack Engineer,Database Design,Medium,What are database transactions and why are they important?,"Transactions ensure atomicity, consistency, isolation, and durability, maintaining data integrity during concurrent operations."
Full Stack Engineer,Database Design,Hard,How would you design a database schema for high write throughput?,"By minimizing indexes, optimizing partitioning, using horizontal scaling, and avoiding heavy relational joins."
Full Stack Engineer,System Design Basics,Medium,What is a message queue and when would you use it?,"A message queue enables asynchronous communication between services, useful for decoupling components and handling background tasks."
Full Stack Engineer,System Design Basics,Hard,How does microservices architecture improve scalability?,"Microservices allow independent deployment and scaling of individual services, reducing bottlenecks and improving flexibility."
Full Stack Engineer,Web Security,Medium,What is the principle of least privilege?,It ensures users and systems have only the minimum access necessary to perform required tasks.
Full Stack Engineer,Web Security,Hard,How do you securely manage secrets in a production system?,"By using environment variables, secret managers, encryption, and restricting access via role-based controls."
Full Stack Engineer,DevOps Basics,Medium,"What is the purpose of environment separation (dev, staging, production)?",It ensures safe testing and validation before deploying changes to live users.
Full Stack Engineer,DevOps Basics,Hard,How would you minimize downtime during deployment?,"By using rolling updates, blue-green deployment, health checks, and automated rollback strategies."
Full Stack Engineer,API Design & Integration,Medium,What is pagination and why is it necessary?,"Pagination limits large result sets into manageable chunks, improving performance and user experience."
